,restaurant,item,calories,protein,total_fat,total_carb,recipe_name,recipe_calories,recipe_protein,recipe_fat,recipe_carb,recipe_image
29,Arbys,Half Pound Beef 'n Cheddar Sandwich,740,49.0,39,48,Vip Red Velvet Rope Cake,745.0,8.0,40.0,90.0,https://spoonacular.com/recipeImages/66909-312x231.jpg
30,Subway,Footlong Chicken Pizziola Melt,920,64.0,32,98,Hummingbird Carrot Cake,931.0,10.0,64.0,80.0,https://spoonacular.com/recipeImages/1697589-312x231.jpg
31,Burger King,DOUBLE WHOPPER w/o Cheese,900,47.0,57,51,Instant Pot Buffalo Garlic Butter Wings,891.0,71.0,65.0,0.0,https://spoonacular.com/recipeImages/1747683-312x231.jpeg
32,Taco Bell,Cantina Power Burrito - Steak,780,33.0,28,98,Spicy Peanut Butter-Chocolate Chip Cookies,789.0,14.0,34.0,110.0,https://spoonacular.com/recipeImages/661151-312x231.jpg
33,Mcdonalds,Double Quarter Pounder® with Cheese,770,51.0,45,42,Cajun Seafood and Andouille Sausage Gumbo,766.0,44.0,47.0,39.0,https://spoonacular.com/recipeImages/636736-312x231.jpg
34,Arbys,Smoke Mountain w/ Beef Short Rib,740,43.0,35,62,Super Easy Oven Baked Cod,718.0,47.0,17.0,87.0,https://spoonacular.com/recipeImages/1697677-312x231.jpg
35,Sonic,Deluxe Ultimate Chicken Sandwich,740,33.0,39,63,Wuxi Ribs,737.0,40.0,44.0,21.0,https://spoonacular.com/recipeImages/665438-312x231.jpg
36,Burger King,Double Quarter Pound King,900,56.0,54,50,Sausage Calzone,934.0,43.0,59.0,56.0,https://spoonacular.com/recipeImages/659358-312x231.jpg
37,Subway,Footlong BBQ Rib Sandwich,860,38.0,36,94,Sun-dried Tomato & Artichoke Tuna Casserole,829.0,41.0,27.0,95.0,https://spoonacular.com/recipeImages/662287-312x231.png
38,Taco Bell,Nachos BellGrande®,760,18.0,39,82,Chocolate Strawberry Fudge Cake,764.0,22.0,49.0,57.0,https://spoonacular.com/recipeImages/639212-312x231.jpg
39,Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760,58.0,44,32,Oreo Cake,797.0,9.0,39.0,105.0,https://spoonacular.com/recipeImages/654018-312x231.jpg
40,Arbys,Turkey Avocado Club,730,41.0,28,80,Falafel Burgers,710.0,23.0,35.0,66.0,https://spoonacular.com/recipeImages/642540-312x231.jpg
41,Sonic,Traditional Ultimate Chicken Sandwich,730,32.0,39,62,Fesenjan Chicken Stew,713.0,36.0,54.0,22.0,https://spoonacular.com/recipeImages/642681-312x231.jpg
42,Burger King,Sourdough Chicken Club,840,32.0,51,62,Lemon Curd Custard Ice Cream,822.0,12.0,58.0,67.0,https://spoonacular.com/recipeImages/649596-312x231.jpg
43,Subway,Footlong Subway Seafood Sensation,840,26.0,38,102,Bridget Jones's Shepherd's Pie,817.0,31.0,59.0,35.0,https://spoonacular.com/recipeImages/636096-312x231.jpg
44,Taco Bell,Cantina Power Burrito - Chicken,760,32.0,27,96,Coconut Rice and Carrot Sambal,760.0,10.0,40.0,83.0,https://spoonacular.com/recipeImages/639807-312x231.jpg
45,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,55.0,31,62,Chicken Burritos,713.0,32.0,50.0,25.0,https://spoonacular.com/recipeImages/637999-312x231.jpg
46,Arbys,Super Greek Salad,720,22.0,53,39,Sausage & Pepperoni Stromboli,692.0,32.0,46.0,35.0,https://spoonacular.com/recipeImages/776505-312x231.jpg
47,Sonic,Sonic Cheeseburger W/ Ketchup,720,35.0,43,47,Pan-seared salmon with brown butter lime sauce and roasted asparagus,700.0,37.0,59.0,4.0,https://spoonacular.com/recipeImages/654476-312x231.jpg
48,Burger King,Bacon Cheddar Ranch Crispy Chicken Sandwich,830,34.0,52,57,Lemon-Pepper Fettucine Alfredo,797.0,23.0,55.0,48.0,https://spoonacular.com/recipeImages/649850-312x231.jpg
49,Subway,Sausage Pizza,820,39.0,34,97,How to Make OREO Turkeys for Thanksgiving,835.0,47.0,45.0,62.0,https://spoonacular.com/recipeImages/715449-312x231.jpg
50,Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,39.0,35,69,Lemon Ice Cream Mousse Cake,734.0,15.0,26.0,108.0,https://spoonacular.com/recipeImages/649654-312x231.jpg
51,Taco Bell,Cantina Power Burrito - Veggie,740,20.0,26,107,Butternut Squash Pasta,711.0,26.0,23.0,96.0,https://spoonacular.com/recipeImages/1697703-312x231.jpg
52,Arbys,Greek Gyro,710,23.0,44,55,Chicken and Miso Ramen Noodle Soup,727.0,46.0,18.0,87.0,https://spoonacular.com/recipeImages/637908-312x231.jpg
53,Sonic,Sonic Cheeseburger W/ Mustard,710,35.0,43,43,"Quinoa Salad With Avocado, Asparagus and Sun Dried Tomatoes",718.0,20.0,35.0,70.0,https://spoonacular.com/recipeImages/657679-312x231.jpg
54,Subway,Footlong Italian B.M.T.,820,40.0,32,92,Chicken Piccata With Angel Hair Pasta,816.0,40.0,32.0,87.0,https://spoonacular.com/recipeImages/638248-312x231.jpg
55,Burger King,Bacon & Cheese Whopper,770,29.0,48,47,Pasta With Feta Cheese And Asparagus,804.0,30.0,34.0,88.0,https://spoonacular.com/recipeImages/1697541-312x231.jpg
56,Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,32.0,33,75,Chicken Parmesan Patty- Eat As A Burger OR On Pasta,715.0,54.0,53.0,5.0,https://spoonacular.com/recipeImages/801377-312x231.jpg
57,Taco Bell,Fiesta Taco Salad-Chicken,720,32.0,35,70,Spaghetti Squash Boats,686.0,19.0,43.0,48.0,https://spoonacular.com/recipeImages/1096014-312x231.jpg
58,Arbys,Pecan Chicken Salad Flatbread,710,22.0,46,53,Sauteed Trout with Pecans,694.0,39.0,53.0,13.0,https://spoonacular.com/recipeImages/659447-312x231.jpg
59,Sonic,Hatch Green Chile Cheeseburger,710,35.0,43,44,Dutch Oven Danish Cake,738.0,11.0,27.0,114.0,https://spoonacular.com/recipeImages/641767-312x231.jpg
60,Subway,"Turkey, Bacon & Guacamole Wrap",810,43.0,42,62,Perch Fillets With Shrimp and Vermouth Sauce,818.0,43.0,47.0,51.0,https://spoonacular.com/recipeImages/655716-312x231.jpg
61,Burger King,Spicy Crispy Jalapeno Chicken Sandwich,760,32.0,45,58,Easy Turtle Pumpkin Pie,761.0,6.0,54.0,66.0,https://spoonacular.com/recipeImages/642133-312x231.jpg
62,Taco Bell,Fiesta Taco Salad-Steak,720,28.0,36,70,Crispy Southern Fried Chicken,723.0,37.0,46.0,37.0,https://spoonacular.com/recipeImages/640843-312x231.jpg
63,Arbys,Roast Turkey & Swiss Sandwich,710,38.0,28,79,Dr Pepper Pulled Pork,674.0,58.0,13.0,77.0,https://spoonacular.com/recipeImages/641627-312x231.jpg
64,Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,33.0,34,67,Grilled Chicken Hunter Style,732.0,84.0,38.0,8.0,https://spoonacular.com/recipeImages/645647-312x231.jpg
65,Sonic,Crispy Asiago Caesar Chicken Club Sandwich,680,31.0,39,53,Authentic Louisiana Crawfish Pie,706.0,17.0,55.0,34.0,https://spoonacular.com/recipeImages/1463207-312x231.jpg
66,Subway,Pepperoni Pizza,790,38.0,32,96,Ditalini with peas,801.0,34.0,36.0,78.0,https://spoonacular.com/recipeImages/641543-312x231.jpg
67,Burger King,WHOPPER w/ Cheese,760,33.0,47,53,Jumbo Blueberry Muffins,762.0,6.0,58.0,56.0,https://spoonacular.com/recipeImages/648647-312x231.jpg
68,Taco Bell,Nacho Fries Bellgrande,710,13.0,41,73,for a Baked Potato (fluffy every time when using this trick),710.0,8.0,54.0,49.0,https://spoonacular.com/recipeImages/1697659-312x231.jpg
69,Arbys,Bourbon BBQ Steak Sandwich,690,38.0,31,66,Classic Basil Pesto Sauce,704.0,27.0,62.0,13.0,https://spoonacular.com/recipeImages/639564-312x231.jpg
70,Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,38.0,37,51,The Best Chicken Salad Sandwich,697.0,45.0,46.0,24.0,https://spoonacular.com/recipeImages/663219-312x231.jpg
71,Sonic,Sonic Burger W/ Ketchup,650,32.0,37,46,Pasta Roses With Zucchini and Ham,674.0,40.0,48.0,19.0,https://spoonacular.com/recipeImages/654879-312x231.jpg
72,Subway,Footlong Turkey & Bacon Avocado,780,44.0,26,98,Stuffed Shells With Smoked Whitefish In A Lemon Béchamel Sauce,757.0,35.0,44.0,53.0,https://spoonacular.com/recipeImages/662089-312x231.jpg
73,Burger King,Sourdough King Single,730,35.0,43,52,Julia Child's Boeuf Bourguignon,746.0,61.0,28.0,44.0,https://spoonacular.com/recipeImages/648636-312x231.jpg
74,Taco Bell,Smothered Burrito - Beef,710,28.0,35,70,Traditional Battenberg Cake,703.0,13.0,41.0,71.0,https://spoonacular.com/recipeImages/663755-312x231.jpg
75,Arbys,Buttermilk Chicken Cordon Bleu Sandwich,690,41.0,35,53,Salmon With Orange Salsa and Pomegranate Glaze,678.0,38.0,35.0,39.0,https://spoonacular.com/recipeImages/659138-312x231.jpg
76,Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,31.0,32,69,Grilled Bourbon-Glazed Pork Chops,651.0,34.0,34.0,46.0,https://spoonacular.com/recipeImages/645598-312x231.jpg
